op_id,model_family,operator,phase,shape_or_role,attr_and_class,definition_or_instantiation,callsite,ultimate_kernel_or_api,kernel_impl_location,dispatch_switch,unit_test,integration_test,benchmark,notes
1,DSA (DeepSeek V3.2 / Kimi K2.x),Q_a (down-proj),prefill,"[16384,6144]x[6144,2048]","self.fused_qkv_a_proj_with_mqa (ReplicatedLinear); fused with KV_a into one GEMM","python/sglang/srt/layers/linear.py:192 (class); python/sglang/srt/models/deepseek_v2.py:1611 (instantiate)",python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mha.py:133,"Fp8LinearMethod.apply -> w8a8_block_fp8_linear -> deep_gemm.fp8_gemm_nt (auto) / CUTLASS fp8_blockwise_scaled_mm / Triton; bf16 -> F.linear; small-M bf16 SM>=90 -> dsv3_fused_a_gemm","python/sglang/srt/layers/quantization/fp8_utils.py:432 (dispatch); python/sglang/jit_kernel/fused_a_gemm.py:34; sgl-kernel dsv3_fused_a_gemm",--fp8-gemm-backend {auto|deep_gemm|cutlass|flashinfer_*|triton}; SGLANG_ENABLE_JIT_DEEPGEMM,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py; pytest sgl-kernel/tests/test_dsv3_fused_a_gemm.py; pytest test/registered/jit/test_dsv3_fused_a_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py; python3 test/manual/8-gpu-models/test_deepseek_v3_basic.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py; python3 test/registered/jit/benchmark/bench_dsv3_fused_a_gemm.py,"Q_a and KV_a share one Linear (packed_modules_mapping); no standalone q_a_proj module. Kimi K2.7: routed here via _KimiK2ConfigAlias (utils/hf_transformers/common.py:136) -> DeepseekV3ForCausalLM"
2,DSA (DeepSeek V3.2 / Kimi K2.x),Q_b (up-proj),prefill,"[16384,2048]x[2048,8*256]","self.q_b_proj (ColumnParallelLinear)","python/sglang/srt/layers/linear.py:289 (class); python/sglang/srt/models/deepseek_v2.py:1619 (instantiate)",python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mha.py:169,"Fp8LinearMethod.apply -> w8a8_block_fp8_linear (block-fp8); bf16 -> F.linear","python/sglang/srt/layers/quantization/fp8_utils.py:432; python/sglang/srt/layers/quantization/fp8.py:834",--fp8-gemm-backend; SGLANG_NVFP4_CKPT_FP8_GEMM_IN_ATTN,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py; pytest sgl-kernel/tests/test_fused_qk_norm_rope.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,"Input pre-normed/quantized by fused_rms_fp8_group_quant on gfx95"
3,DSA (DeepSeek V3.2 / Kimi K2.x),KV_a (down-proj),prefill,"[16384,6144]x[6144,576]","shared with Q_a via self.fused_qkv_a_proj_with_mqa (ReplicatedLinear); KV part sliced out","python/sglang/srt/layers/linear.py:192 (class); python/sglang/srt/models/deepseek_v2.py:1611 (instantiate)",python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mha.py:226,same GEMM as Q_a (single call yields q_lora + kv_lora + qk_rope); post-op kv_a_layernorm + optional fused_rms_fp8_group_quant,python/sglang/srt/layers/quantization/fp8_utils.py:432,--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py; pytest sgl-kernel/tests/test_dsv3_fused_a_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,"Never a standalone GEMM; sliced from fused_qkv_a_proj output"
4,DSA (DeepSeek V3.2 / Kimi K2.x),KV_b (up-proj),prefill,"[16384,512]x[512,8*(192+256)]","self.kv_b_proj (ColumnParallelLinear)","python/sglang/srt/layers/linear.py:289 (class); python/sglang/srt/models/deepseek_v2.py:1684 (instantiate)","python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mha.py:312-325","Fp8LinearMethod.apply -> block-fp8 GEMM; MXFP4+FP8 -> fused_gemm_afp4wfp4_split_cat (fuses GEMM + nope/v split + k_pe cat); bf16 -> F.linear","python/sglang/srt/layers/quantization/fp8_utils.py:432; sgl_kernel fused_gemm_afp4wfp4_split_cat",--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py; python3 test/manual/mla/test_mla_fp8.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,"decode path DOES NOT call this Linear; weight is absorbed into w_kc / w_vc at load time (see ops 17-18)"
5,DSA (DeepSeek V3.2 / Kimi K2.x),O_proj,prefill,"[16384,8*256]x[2048,6144]","self.o_proj (RowParallelLinear)","python/sglang/srt/layers/linear.py:1337 (class); python/sglang/srt/models/deepseek_v2.py:1694 (instantiate)",python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mha.py:344,"Fp8LinearMethod.apply -> block-fp8 GEMM + optional all-reduce; bf16 -> F.linear + all-reduce","python/sglang/srt/layers/quantization/fp8_utils.py:432",--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,"reduce_results controlled by constructor arg"
6,DSA (DeepSeek V3.2 / Kimi K2.x),Index_Q,prefill,"[16384,6144]x[6144,32*128=4096]","Indexer.wq_b (ReplicatedLinear) + post-op fused kernel","python/sglang/srt/layers/attention/dsa/dsa_indexer.py:402 (attr); python/sglang/srt/layers/attention/dsa/dsa_indexer.py:343 (class Indexer)","python/sglang/srt/layers/attention/dsa/dsa_indexer.py:561 (dual-stream) / 584 (normal)","Linear GEMM (F.linear or block-fp8); then fused_q_indexer_rope_first_quant (RoPE + FP8 quant + head-gate weight fold) OR act_quant + rotate_activation (Hadamard)","python/sglang/jit_kernel/dsv4/elementwise.py:188 (fused_q_indexer_rope_first_quant); python/sglang/srt/layers/attention/dsa/triton_kernel.py:86 (act_quant fallback)",SGLANG_OPT_USE_DSA_INDEXER_FUSION (default on for CUDA non-neox),pytest test/registered/jit/test_dsv32_indexer_fusion.py; pytest test/registered/kernels/test_dsa_indexer.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,python3 test/registered/jit/benchmark/bench_dsv4_fp4_indexer.py,"V4 C4Indexer variant lives in python/sglang/srt/layers/attention/dsv4/indexer.py:831"
7,DSA (DeepSeek V3.2 / Kimi K2.x),Index_K,prefill,"[16384,6144]x[6144,128]","Indexer.wk (ReplicatedLinear) OR Indexer.wk_weights_proj (fused K+weights); + fused norm+RoPE+cache-store","python/sglang/srt/layers/attention/dsa/dsa_indexer.py:419 (wk); 411 (wk_weights_proj)","python/sglang/srt/layers/attention/dsa/dsa_indexer.py:573 / 592 (wk); 571 / 590 (fused)","Linear GEMM; then fused_k_indexer_norm_rope_store (LN/RMS + RoPE + FP8 quant + paged cache write) OR fused_k_indexer_norm_rope + separate _store_index_k_cache; ROCm path uses aiter.ops.cache.indexer_k_quant_and_cache","python/sglang/jit_kernel/dsv32/elementwise.py:65 (norm_rope_store); :41 (norm_rope); python/sglang/jit_kernel/fused_store_index_cache.py:69 (fused_store); python/sglang/srt/layers/attention/dsa/dsa_indexer.py:1620 (_store_index_k_cache)",SGLANG_OPT_USE_DSA_INDEXER_FUSION; SGLANG_DSA_USE_FUSED_STORE,pytest test/registered/jit/test_dsv32_indexer_fusion.py; pytest test/registered/kernels/test_dsa_indexer.py; pytest test/manual/layers/attention/dsa/test_act_quant_triton.py,python3 test/manual/test_deepseek_v31.py,,"NPU path: torch.ops.npu.npu_rotary_mul + set_index_k_buffer (dsa_indexer.py:2220)"
8,DSA (DeepSeek V3.2 / Kimi K2.x),Index_Score,prefill,"Q:[16384,32,128] x K:[16384,128] -> [32,16384,16384]",Indexer._get_topk_ragged (+ CP variant _get_topk_ragged_with_cp),python/sglang/srt/layers/attention/dsa/dsa_indexer.py:1090 (ragged); 1378 (with_cp),python/sglang/srt/layers/attention/dsa/dsa_indexer.py:1201-1208,"CUDA default: deep_gemm.fp8_mqa_logits; HIP: aiter.ops.triton.fp8_mqa_logits.fp8_mqa_logits; NPU: torch_npu.npu_lightning_indexer; TileLang fallback: fp8_index; then topk_transform_512_v2 (fused topk + page-table transform)","deep_gemm.fp8_mqa_logits (external); python/sglang/srt/layers/attention/dsa/tilelang_kernel.py:229 (fp8_index); python/sglang/jit_kernel/dsv4/topk.py:86 (topk_transform_512_v2); python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py:75",--dsa-prefill-backend {flashmla_sparse|flashmla_kv|fa3|tilelang|trtllm}; SGLANG_OPT_USE_TOPK_V2,pytest test/registered/kernels/test_dsa_indexer.py; pytest test/registered/kernels/test_deepgemm_paged_mqa_logits.py; pytest test/registered/jit/deepseek_v4/test_topk_v2.py; pytest sgl-kernel/tests/test_topk.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,python3 test/registered/jit/benchmark/bench_topk.py; python3 benchmark/kernels/deepseek/benchmark_cute_dsl_fp8_paged_mqa_logits.py,"Formula: sum_h(relu(Q_h @ K^T) * weights_h) * k_scale, then topk (typically 2048)"
9,DSA (DeepSeek V3.2 / Kimi K2.x),Dense GateUp (shared expert),prefill,"[16384,6144]x[6144,2*12288/8=3072]","shared_experts.gate_up_proj (MergedColumnParallelLinear)","python/sglang/srt/layers/linear.py:487 (class); python/sglang/srt/models/deepseek_v2.py:252 (instantiate)",python/sglang/srt/models/deepseek_v2.py:340,"Fp8LinearMethod.apply -> w8a8_block_fp8_linear; auto/deep_gemm -> deep_gemm.fp8_gemm_nt; cutlass -> sgl_kernel.fp8_blockwise_scaled_mm; flashinfer_trtllm/cutlass/deepgemm; triton -> w8a8_block_fp8_matmul_triton; NVFP4 fusion path -> nvfp4_gemm_swiglu_nvfp4_quant","python/sglang/srt/layers/quantization/fp8_utils.py:432 (dispatch); python/sglang/srt/layers/quantization/fp8_kernel.py:1280 (deepgemm)","--fp8-gemm-backend; SGLANG_ENABLE_JIT_DEEPGEMM; SGLANG_ENABLE_NVFP4_GEMM_SWIGLU_FUSSION",pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py; python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm_blackwell.py,"intermediate_size = moe_intermediate_size * n_shared_experts"
10,DSA (DeepSeek V3.2 / Kimi K2.x),Dense Down (shared expert),prefill,"[16384,1536]x[1536,6144]","shared_experts.down_proj (RowParallelLinear)","python/sglang/srt/layers/linear.py:1337 (class); python/sglang/srt/models/deepseek_v2.py:261 (instantiate)",python/sglang/srt/models/deepseek_v2.py:429,"Same dispatch as op 9; V4 clamped-swiglu fast path: silu_and_mul_contig_post_quant + deep_gemm_wrapper.gemm_nt_f8f8bf16 (bypasses quant_method.apply)","python/sglang/srt/layers/quantization/fp8_utils.py:432; python/sglang/srt/models/deepseek_v2.py:344-378",--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,"1536 shape not matching stock 2048; assumes custom config"
11,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Router,prefill,"[16384,6144]x[6144,256]","mlp.gate (MoEGate; NOT ReplicatedLinear) + TopK","python/sglang/srt/models/deepseek_v2.py:436 (class); 599 (instantiate); python/sglang/srt/layers/moe/topk.py:462 (TopK)","python/sglang/srt/models/deepseek_v2.py:1057 (normal); 950 (dual-stream); 1221 (deepep)","CUDA large-M: linear_bf16_fp32 (torch.mm bf16->fp32 cuBLAS) OR deep_gemm_wrapper.gemm_nt_bf16bf16f32; small-M (<=16): JIT _jit_dsv3_router_gemm; AMD: aiter_dsv3_router_gemm. TopK: biased_grouped_topk_gpu -> sgl_kernel.fused_topk_deepseek OR JIT moe_fused_gate","python/sglang/jit_kernel/dsv3_router_gemm.py:65 (JIT); python/sglang/jit_kernel/dsv4/gemm.py:16 (linear_bf16_fp32); python/sglang/srt/layers/moe/topk.py:1383 (biased_grouped_topk)","SGLANG_OPT_USE_JIT_KERNEL_GROUPED_TOPK; is_deterministic",pytest test/registered/jit/test_dsv3_router_gemm.py; pytest sgl-kernel/tests/test_moe_topk_sigmoid.py; pytest test/registered/kernels/test_fused_topk_deepseek.py,python3 test/manual/test_deepseek_v31.py,python3 test/registered/jit/benchmark/bench_dsv3_router_gemm.py; python3 benchmark/kernels/deepseek/benchmark_deepgemm_dsv3_router_gemm_blackwell.py,"No Gaussian noise; e_score_correction_bias is noaux_tc learned bias"
12,DSA (DeepSeek V3.2 / Kimi K2.x),MoE GateUp GroupGEMM,prefill,"256 x [M_e,6144]x[6144,2*2048/8=512], M_e~512","experts.w13_weight (FusedMoE or DeepEPMoE)","python/sglang/srt/layers/moe/fused_moe_triton/layer.py:138 (FusedMoE); python/sglang/srt/layers/moe/ep_moe/layer.py:49 (DeepEPMoE); python/sglang/srt/models/deepseek_v2.py:624 (instantiate)","python/sglang/srt/models/deepseek_v2.py:1105 (normal); 982 (dual-stream); 1398 (deepep)","DeepEP NORMAL: deep_gemm.m_grouped_fp8_gemm_nt_contiguous (DeepGemmRunnerCore._run_contiguous_gemm); TP-only Triton: fused_experts -> invoke_fused_moe_kernel; cutlass: cutlass_fused_experts_fp8; flashinfer_trtllm/cutedsl variants","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:164; deep_gemm_wrapper.entrypoint.py:112; python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe.py:227; python/sglang/srt/layers/quantization/fp8.py:1998","--moe-a2a-backend {none|deepep|mooncake|nixl|mori|flashinfer|megamoe}; --moe-runner-backend {auto|deep_gemm|triton|flashinfer_trtllm|cutlass|flashinfer_cutedsl|triton_kernels}; --deepep-mode {auto|normal|low_latency}; SGLANG_ENABLE_JIT_DEEPGEMM",pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py; pytest test/registered/moe/test_moe_runners_4gpu.py; pytest test/registered/moe/test_fused_moe.py; pytest test/registered/moe/test_triton_fused_moe.py; pytest test/registered/moe/test_cutedsl_moe.py; pytest test/registered/moe/test_moe_ep.py,python3 test/manual/test_deepseek_v31.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py; python3 benchmark/kernels/fused_moe_triton/benchmark_sglang_fused_moe_triton.py; python3 benchmark/kernels/deepep/tuning_deepep.py,"is_extend_in_batch=True forces NORMAL mode (contiguous grouped GEMM)"
13,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Down GroupGEMM,prefill,"256 x [M_e,intermediate/TP=256]x[256,6144]","experts.w2_weight",python/sglang/srt/layers/moe/fused_moe_triton/layer.py:138; python/sglang/srt/models/deepseek_v2.py:624,same as op 12 (second GEMM in the runner),"NORMAL: deep_gemm.m_grouped_fp8_gemm_nt_contiguous (deep_gemm.py:286); silu+quant between GEMMs via silu_and_mul_contig_post_quant","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:286; deep_gemm_wrapper.entrypoint.py:112","--moe-a2a-backend; --moe-runner-backend; --deepep-mode",pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py; pytest test/registered/moe/test_moe_runners_4gpu.py,python3 test/manual/test_deepseek_v31.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py,"Middle dim 256 = moe_intermediate_size (2048) / TP (8), NOT expert count"
14,DSA (DeepSeek V3.2 / Kimi K2.x),Q_a (down-proj),decode,"[16,6144]x[6144,2048]",same as op 1 (fused_qkv_a_proj_with_mqa),same as op 1,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:284,"Small-M SM>=90 bf16 -> dsv3_fused_a_gemm (M=16 triggers); otherwise same as op 1","python/sglang/jit_kernel/fused_a_gemm.py:34; sgl_kernel.dsv3_fused_a_gemm",use_min_latency_fused_a_gemm (auto),pytest sgl-kernel/tests/test_dsv3_fused_a_gemm.py; pytest test/registered/jit/test_dsv3_fused_a_gemm.py; pytest test/registered/jit/test_cutedsl_dsv3_fused_a_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 test/registered/jit/benchmark/bench_dsv3_fused_a_gemm.py,"M=16 typically hits fast path"
15,DSA (DeepSeek V3.2 / Kimi K2.x),Q_b (up-proj),decode,"[16,2048]x[2048,16384]",same as op 2,same as op 2,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:383,same as op 2,python/sglang/srt/layers/quantization/fp8_utils.py:432,--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,
16,DSA (DeepSeek V3.2 / Kimi K2.x),KV_a (down-proj),decode,"[16,6144]x[6144,576]",same as op 3,same as op 3,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:292,same as op 3,python/sglang/srt/layers/quantization/fp8_utils.py:432,--fp8-gemm-backend,pytest sgl-kernel/tests/test_dsv3_fused_a_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,
17,DSA (DeepSeek V3.2 / Kimi K2.x),q_nope absorb BMM,decode,"[16,64,192]x[64,192,512]","self.w_kc (precomputed from kv_b_proj at weight-load)","python/sglang/srt/models/deepseek_v2.py:1761-1767 (attrs); python/sglang/srt/models/deepseek_common/deepseek_weight_loader.py:628-666 (precompute)","python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:449-538","CUDA bf16 default: torch.bmm; CUDA FP8 per-tensor: bmm_fp8 (sgl_kernel.bmm_fp8); DeepGEMM block-FP8: grouped_gemm_nt_f8f8bf16_masked; ROCm gfx95 MXFP4: batched_gemm_afp4wfp4_pre_quant; ROCm gfx95 FP8: batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant; fused into attention: mla_bmm_then_unified_attention","python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:93-108 (bmm_fp8 wrapper); sgl_kernel.bmm_fp8; deep_gemm.fp8_m_grouped_gemm_nt_masked",SGL_USE_DEEPGEMM_BMM (load-time),pytest sgl-kernel/tests/test_bmm_fp8.py,python3 test/manual/mla/test_mla_fp8.py; python3 test/manual/mla/test_mla_deepseek_v3.py,,"_can_fuse_bmm_into_attention (forward_mla.py:205) gates attention-fusion; disabled for deepgemm_bmm/hip/FP8"
18,DSA (DeepSeek V3.2 / Kimi K2.x),v absorb BMM,decode,"[16,64,512]x[64,512,256]","self.w_vc (same precomputation)",same as op 17,"python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:822-973","Symmetrical to op 17: torch.bmm / bmm_fp8 / grouped_gemm_nt_f8f8bf16_masked / batched_gemm_afp4wfp4 / batched_gemm_a8w8",same as op 17,SGL_USE_DEEPGEMM_BMM,pytest sgl-kernel/tests/test_bmm_fp8.py,python3 test/manual/mla/test_mla_fp8.py; python3 test/manual/mla/test_mla_deepseek_v3.py,,
19,DSA (DeepSeek V3.2 / Kimi K2.x),O_proj,decode,"[16,16384]x[16384,6144]",same as op 5,same as op 5,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:986,same as op 5,python/sglang/srt/layers/quantization/fp8_utils.py:432,--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,
20,DSA (DeepSeek V3.2 / Kimi K2.x),Index_Q,decode,"[16,6144]x[6144,4096]",same as op 6,same as op 6,same as op 6,same as op 6,same as op 6,SGLANG_OPT_USE_DSA_INDEXER_FUSION,pytest test/registered/jit/test_dsv32_indexer_fusion.py; pytest test/registered/kernels/test_dsa_indexer.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,python3 test/registered/jit/benchmark/bench_dsv4_fp4_indexer.py,
21,DSA (DeepSeek V3.2 / Kimi K2.x),Index_K,decode,"[16,6144]x[6144,128]",same as op 7,same as op 7,same as op 7,same as op 7,same as op 7,SGLANG_DSA_USE_FUSED_STORE,pytest test/registered/jit/test_dsv32_indexer_fusion.py; pytest test/registered/kernels/test_dsa_indexer.py,python3 test/manual/test_deepseek_v31.py,,
22,DSA (DeepSeek V3.2 / Kimi K2.x),Index_Score,decode,"Q:[16,32,128] x K_cache:[B,T,128]",Indexer._get_topk_paged,python/sglang/srt/layers/attention/dsa/dsa_indexer.py:863,python/sglang/srt/layers/attention/dsa/dsa_indexer.py:965-1020,"CUDA auto/deepgemm: deep_gemm.fp8_paged_mqa_logits (deepgemm_paged_mqa_logits_native or _split); ROCm: aiter.ops.triton.pa_mqa_logits.deepgemm_fp8_paged_mqa_logits; Blackwell SM100: CuteDSLPagedMQALogitsRunner.forward; NPU: torch_npu.npu_lightning_indexer; topk: metadata.topk_transform -> topk_transform_512_v2","python/sglang/jit_kernel/dsa/paged_mqa_logits.py:10-152; deep_gemm.fp8_paged_mqa_logits; python/sglang/jit_kernel/dsv4/topk.py:86","--dsa-paged-mqa-logits-backend {auto|deepgemm|aiter|cutedsl}; SGLANG_OPT_USE_TOPK_V2",pytest test/registered/kernels/test_deepgemm_paged_mqa_logits.py; pytest test/registered/kernels/test_cute_dsl_fp8_paged_mqa_logits.py; pytest test/registered/kernels/test_sm120_paged_mqa_logits.py; pytest test/registered/kernels/test_dsa_indexer.py; pytest test/registered/jit/deepseek_v4/test_topk_v2.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,python3 benchmark/kernels/deepseek/benchmark_cute_dsl_fp8_paged_mqa_logits.py; python3 test/registered/jit/benchmark/bench_topk.py,"init/local token mask (_mask_init_and_local_tokens) forces sink/local to +inf pre-topk"
