op_id,model_family,operator,phase,shape_or_role,attr_and_class,definition_or_instantiation,callsite,ultimate_kernel_or_api,kernel_impl_location,dispatch_switch,unit_test,integration_test,benchmark,notes
23,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Router,decode,"[16,6144]x[6144,256]",same as op 11,same as op 11,"python/sglang/srt/models/deepseek_v2.py:1221 (deepep path)","Decode M=16 triggers _jit_dsv3_router_gemm (SM100/103 M<=4; others M<=16); AMD: aiter_dsv3_router_gemm","python/sglang/jit_kernel/dsv3_router_gemm.py:65",SGLANG_OPT_USE_JIT_KERNEL_GROUPED_TOPK,pytest test/registered/jit/test_dsv3_router_gemm.py,python3 test/manual/test_deepseek_v31.py,python3 test/registered/jit/benchmark/bench_dsv3_router_gemm.py,
24,DSA (DeepSeek V3.2 / Kimi K2.x),MoE GateUp GroupGEMM,decode,"8 x [M_local,6144]x[6144,4096], M_local~16","experts.w13_weight (DeepEPMoE, LOW_LATENCY)",same as op 12,"python/sglang/srt/models/deepseek_v2.py:1398 (forward_deepep)","DeepGemmRunnerCore._run_masked_gemm -> deep_gemm.fp8_m_grouped_gemm_nt_masked (MASKED). is_extend_in_batch=False + AUTO -> LOW_LATENCY. Runner NOT swapped under cuda graph, only DeepEP mode NORMAL->LOW_LATENCY. Triton fallback: fused_experts (moe_runner_backend=triton or no A2A). BF16 fallback: SGLANG_DEEPEP_BF16_DISPATCH -> Triton","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:362 (_run_masked_gemm); deep_gemm_wrapper.entrypoint.py:27; python/sglang/srt/layers/moe/token_dispatcher/deepep.py:975","--moe-a2a-backend {deepep|mooncake|nixl|mori}; --moe-runner-backend {auto|deep_gemm|triton}; --deepep-mode {auto|low_latency}; SGLANG_DEEPEP_BF16_DISPATCH (forces Triton); SGLANG_DEEPEP_NUM_MAX_DISPATCH_TOKENS_PER_RANK",pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py; pytest test/registered/moe/test_moe_runners_4gpu.py; pytest test/registered/moe/test_moe_ep.py; pytest test/registered/moe/test_cutedsl_moe.py,python3 test/manual/test_deepseek_v31.py; python3 test/registered/models_e2e/test_deepseek_v3_mtp.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py; python3 benchmark/kernels/deepep/tuning_deepep.py,"Critical: cuda-graph does NOT switch runner to Triton; masked grouped GEMM fires under cuda-graph"
25,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Down GroupGEMM,decode,"[M_local,2048]x[2048,6144]",same as op 24 (experts.w2_weight),same as op 24,same as op 24,"_run_masked_gemm second GEMM: deep_gemm.fp8_m_grouped_gemm_nt_masked; between GEMMs: _varlen_deep_gemm_silu_mul_quant","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:478",same as op 24,pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py,python3 test/manual/test_deepseek_v31.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py,
26,DSA (DeepSeek V3.2 / Kimi K2.x),Flash Decoding (sparse) MQA,decode,"q_absorbed:[1,64,16,512] x c_kv:[1,1,2048,512]->[1,64,16,512]","DeepseekSparseAttnBackend.forward_decode -> _forward_flashmla_sparse","python/sglang/srt/layers/attention/dsa_backend.py:331 (class); attention_registry.py:111 (register); dsa_backend.py:2036 (forward_decode)","python/sglang/srt/layers/attention/dsa_backend.py:2232 (_forward_flashmla_sparse)","flashmla_sparse: sgl_kernel.flash_mla.flash_mla_sparse_fwd -> torch.ops.sgl_kernel.sparse_prefill_fwd (dedicated DSA sparse kernel); flashmla_kv: flash_mla_with_kvcache (sparse_decode_fwd, FP8 KV); fa3: flash_attn_with_kvcache; tilelang: tilelang_sparse_fwd; aiter: aiter.mla.mla_decode_fwd; trtllm: flashinfer.decode.trtllm_batch_decode_with_kv_cache_mla","sgl-kernel/python/sgl_kernel/flash_mla.py:310 (flash_mla_sparse_fwd); :87 (flash_mla_with_kvcache); python/sglang/srt/layers/attention/dsa/tilelang_kernel.py (tilelang_sparse_fwd)","--attention-backend dsa; --dsa-decode-backend {flashmla_sparse|flashmla_kv|fa3|tilelang|aiter|trtllm}; SGLANG_DSA_FUSE_TOPK",pytest sgl-kernel/tests/test_flash_attn_sparse.py; pytest sgl-kernel/tests/test_flashmla.py; pytest test/registered/kernels/test_flash_mla_backends.py; pytest test/registered/mla/test_flashmla.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,,"Your shape (MQA k_head=1, page=1, topk) exactly matches flashmla_sparse. topk_indices from op 22 becomes indices arg via transform_index_page_table_decode"
27,DSA (DeepSeek V3.2 / Kimi K2.x),FlashAttn causal MHA,prefill,"Q:[1,8,16384,256] K/V:[1,8,16384,256]->[1,8,16384,256]","FlashAttentionBackend.forward_extend (fa_impl_ver=3)","python/sglang/srt/layers/attention/flashattention_backend.py:201 (class); :226 (fa_impl_ver=3)","python/sglang/srt/layers/attention/flashattention_backend.py:999 (forward_extend); :1160-1300 (MHA branch)","Default paged: sgl_kernel.flash_attn.flash_attn_with_kvcache; no-KV-cache: flash_attn_varlen_func. DSA MHA_ONE_SHOT: flashinfer.prefill.trtllm_ragged_attention_deepseek (SM100+) or flash_attn_varlen_func (SM90). causal=True passed to kernel","sgl-kernel flash_attn; python/sglang/srt/layers/attention/dsa_backend.py:2342 (_forward_standard_mha DSA variant)","--attention-backend {fa3|flashinfer|flashmla|dsa}",pytest sgl-kernel/tests/test_flash_attention.py; pytest test/registered/attention/test_flash_attention_4.py; pytest test/registered/attention/test_hybrid_attn_backend.py,python3 test/manual/mla/test_mla_deepseek_v3.py; python3 test/manual/test_deepseek_v31.py,,"head_dim=256 restricts fp8 KV"
28,MiniMax M3 (external EntryClass),Main Q/K/V projections,both,"per-head GQA: q [T, num_q_heads, qk_head_dim]; kv [T, num_kv_heads, head_dim] (NOT MLA)","External model layer (SGLANG_EXTERNAL_MODEL_PACKAGE); attribute names unknown","External (repo has no MiniMaxM3Sparse* class); sglang registry only provides infrastructure",External model forward,"Standard Linear (ReplicatedLinear/ColumnParallelLinear/QKVParallelLinear) with any quant method (Fp8LinearMethod / UnquantizedLinearMethod / ModelSlim / Quark) - depends on external impl. Follows same dispatch as any GQA model.","python/sglang/srt/layers/linear.py:143 (LinearBase)","--quantization; SGLANG_EXTERNAL_MODEL_PACKAGE",n/a (external),n/a (external),,"M3 is NOT MLA. Main attention is per-head GQA (num_q_heads % num_kv_heads == 0). Confirmed via minimax_sparse.py:30-62 signature and prefill/topk_sparse.py:289-291 assertion. No q_a/q_b/kv_a/kv_b low-rank compression."
29,MiniMax M3 (external EntryClass),Sparse Indexer Q projection (idx_q),both,"[T, num_idx_heads, idx_head_dim]",External model produces idx_q as separate tensor,External model layer,External model forward,"Standard Linear GEMM in external model; optionally fused with RMSNorm+RoPE via minimax_qknorm_rope (CUDA) or qk_gemma_rmsnorm_rope (ROCm)","python/sglang/jit_kernel/minimax_qknorm_rope.py:152 (CUDA); python/sglang/jit_kernel/minimax_m3/qk_norm_rope.py:99 (ROCm)",no explicit gate,pytest test/registered/jit/minimax/test_minimax_qknorm_rope.py; pytest test/registered/jit/test_minimax_m3_qk_norm_rope.py,n/a (external model),python3 test/registered/jit/benchmark/minimax/bench_minimax_qknorm_rope.py,"num_idx_heads may > num_kv_heads; topk_index_reduce (common/index.py:4) reduces to kv-head topk if so"
30,MiniMax M3 (external EntryClass),Sparse Indexer K/V cache write,both,"paged: [max_slots, 1, idx_head_dim]",MiniMaxSparseKVPool.set_index_k_buffer / set_index_kv_buffer / set_fused_kv_index_buffer,"python/sglang/srt/mem_cache/memory_pool.py:3538 (class); 3743-3761 (set_index_k); 3717-3741 (set_index_kv); 3788 (set_fused_kv_index)","External model attention forward","Non-fused: separate memcpy into pool.index_k_pool.k_buffer[mapped_id][loc]; Fused single-launch: store_kv_index (jit CUDA) writes main K/V + idx K [+ idx V] in one launch","python/sglang/jit_kernel/minimax_store_kv_index.py:31 (entry); csrc/minimax/fused_store_kv_index.cuh (kernel)",SGLANG_OPT_USE_MINIMAX_FUSED_KV_INDEX_STORE (default True; gated on CUDA + uniform dtype + 16B-aligned head),pytest test/registered/jit/minimax/test_minimax_store_kv_index.py; pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_host_unit.py; pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_pd_unit.py,n/a (external model),python3 test/registered/jit/benchmark/minimax/bench_minimax_store_kv_index.py,"Fallback: separate set_kv_buffer + set_index_k/kv_buffer (memory_pool.py:3830). K-only sparse layers use index_k_pool (MHATokenToKOnlyPool); K+V layers use index_kv_pool (MHATokenToKVPool). Split by config sparse_disable_index_value."
31,MiniMax M3 (external EntryClass),Sparse Indexer Score (prefill),prefill,"idx_q x idx_k -> per-block score [T, num_idx_heads, num_blocks]; topk in same kernel",flash_prefill_with_topk_index (orchestrator entry),python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/flash_with_topk_idx.py:417,"python/sglang/srt/layers/attention/minimax_sparse_ops/minimax_sparse.py:78","Triton autotuned _flash_attn_fwd_with_block_score_kernel (single-launch: score max/lse + inline topk_idx)","python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/flash_with_topk_idx.py:62 (kernel); :491 (launch)",sparse_score_type in config ('max' or 'lse'),(no in-repo prefill unit test; use E1 decode tests for algorithm coverage),n/a (external model),,
32,MiniMax M3 (external EntryClass),Sparse Indexer Score + topk (decode),decode,"idx_q x idx_k_cache -> score [num_heads, batch, max_seqblock] -> topk_idx [num_heads, batch, topk]",flash_decode_with_topk_idx (orchestrator entry),python/sglang/srt/layers/attention/minimax_sparse_ops/decode/flash_with_topk_idx.py:752,"python/sglang/srt/layers/attention/minimax_sparse_ops/minimax_sparse.py:207","Triton _decode_score_kernel (autotuned, launched at :837); then one of 3 topk paths: (a) dense-page-table fused: minimax_decode_topk_page_table (JIT CUDA) if use_dense_main_attn; (b) radix JIT: minimax_decode_topk (JIT CUDA) if SGLANG_OPT_USE_MINIMAX_DECODE_TOPK_RADIX + score.shape[2]<=4096 + topk<=32; (c) fallback 2-step Triton _topk_index_partial_kernel + _topk_index_merge_kernel","python/sglang/srt/layers/attention/minimax_sparse_ops/decode/flash_with_topk_idx.py:39 (score kernel); :540 (partial); :669 (merge); python/sglang/jit_kernel/minimax_decode_topk.py:43 (radix), :75 (page_table); csrc/minimax/minimax_decode_topk.cuh:270 (radix kernel), :319 (page_table kernel)","SGLANG_OPT_USE_MINIMAX_DECODE_TOPK_RADIX (default True) + shape gates; use_dense_main_attn flag from orchestrator","pytest python/sglang/srt/layers/attention/minimax_sparse_ops/tests/test_flash_with_topk_idx.py; pytest test/registered/jit/minimax/test_minimax_decode_topk.py; pytest test/registered/jit/minimax/test_minimax_decode_topk_page_table.py",n/a (external model),python3 test/registered/jit/benchmark/minimax/bench_minimax_decode_topk.py,"Multi-head reduce: topk_index_reduce (common/index.py:4) when num_idx_heads > num_kv_heads (called at minimax_sparse.py:107 for prefill, :236 for decode)"
33,MiniMax M3 (external EntryClass),Main Sparse Attention (prefill),prefill,"q x paged k_cache/v_cache under topk_idx (GQA-share)",flash_prefill_with_gqa_share_sparse (Triton) OR msa_sparse_prefill_main (MSA fmha_sm100 drop-in),"python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/topk_sparse.py:258 (Triton); python/sglang/srt/layers/attention/minimax_sparse_ops/msa.py:92 (MSA)","python/sglang/srt/layers/attention/minimax_sparse_ops/minimax_sparse.py:117 (MSA) / 132,151 (Triton fallback)","Triton kernel in prefill/topk_sparse.py; OR external fmha_sm100 (Blackwell SM100 B200/B300 only)","python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/topk_sparse.py (triton); python/sglang/srt/layers/attention/minimax_sparse_ops/msa.py:142 (fmha_sm100 call)","msa_available() (SM100 + fmha_sm100 importable + sink is None); fall back to Triton on MSAUnavailableError",(no in-repo prefill unit test for step-3),n/a (external model),,"Naive PyTorch reference: naive/topk_sparse.py:8 (naive_flash_decode_with_gqa_share_sparse). fmha_sm100 is an external CUDA op imported at msa.py:19-29"
34,MiniMax M3 (external EntryClass),Main Sparse Attention (decode),decode,"q x paged k_cache/v_cache under topk_idx (GQA-share)",flash_decode_with_gqa_share_sparse (Triton) OR msa_sparse_decode_main (MSA fmha_sm100 drop-in) OR external dense-main-attn backend (fa3/trtllm_mha via page table),"python/sglang/srt/layers/attention/minimax_sparse_ops/decode/topk_sparse.py:299 (Triton); python/sglang/srt/layers/attention/minimax_sparse_ops/msa.py:316 (MSA)","python/sglang/srt/layers/attention/minimax_sparse_ops/minimax_sparse.py:245 (MSA) / 260,273 (Triton fallback); dense_main_attn_fn parameter (external hook)","Triton kernel in decode/topk_sparse.py; OR external fmha_sm100 (SM100 eager-only, NOT cuda-graph safe for decode); OR external dense paged backend called via page table from minimax_decode_topk_page_table","python/sglang/srt/layers/attention/minimax_sparse_ops/decode/topk_sparse.py (triton); python/sglang/srt/layers/attention/minimax_sparse_ops/msa.py:362 (fmha_sm100 call)","msa_available(); dense_main_attn_fn from external caller","pytest python/sglang/srt/layers/attention/minimax_sparse_ops/tests/test_sparse_gqa.py",n/a (external model),,"MSA decode NOT cuda-graph safe (msa.py:194-209). Eager plan helpers: build_msa_decode_cg_plan (:238), update_msa_decode_cg_meta (:272). Naive reference: naive/flash_with_topk_idx.py:9"
35,MiniMax M3 (external EntryClass),Fused Gemma-RMSNorm + partial RoPE (main+index),both,"Q [T, num_heads, head_dim] + K [T, num_kv_heads, head_dim] (+ optional idx_q, idx_k)","Called by external model layer; entry functions in JIT kernels","python/sglang/jit_kernel/minimax_qknorm_rope.py:152 (CUDA main-only, layout [q|k|v]); :96 (CUDA grouped up to 4 groups); python/sglang/jit_kernel/minimax_m3/qk_norm_rope.py:99 (ROCm main); :298 (ROCm main+sparse-idx fused); :562 (ROCm cache-writing variant)",External model forward (no in-repo caller of minimax_qknorm_rope*),"CUDA: JIT via _fused_gemma_qknorm_rope (jit_kernel/minimax_qknorm_rope.py:51) -> C++ csrc/minimax/fused_gemma_qknorm_rope.cuh; ROCm: Triton _qk_gemma_rmsnorm_rope_kernel / _sparse_qk_index_gemma_rmsnorm_rope_kernel","python/sglang/jit_kernel/csrc/minimax/fused_gemma_qknorm_rope.cuh; python/sglang/jit_kernel/minimax_m3/qk_norm_rope.py:12,151,373 (Triton kernels)",Auto (no env gate on the kernel itself; caller selects fused vs unfused),pytest test/registered/jit/minimax/test_minimax_qknorm_rope.py (CUDA); pytest test/registered/jit/test_minimax_m3_qk_norm_rope.py (ROCm),n/a (external model),python3 test/registered/jit/benchmark/minimax/bench_minimax_qknorm_rope.py,"CUDA and ROCm are DIFFERENT implementations; ROCm variants NOT exported from jit_kernel/minimax_m3/__init__.py"
36,MiniMax M3 (external EntryClass),Gemma-RMSNorm (standalone),both,"[*, hidden] fp32 math","External model layer",python/sglang/jit_kernel/minimax_m3/rmsnorm.py:96 (gemma_rmsnorm); :118 (gemma_fused_add_rmsnorm),"External model forward (NOTE: layernorm.py imports gemma_rmsnorm from sgl_kernel C++ - a DIFFERENT implementation; minimax_m3.rmsnorm has NO in-repo caller)","Triton _gemma_rmsnorm_kernel / _gemma_fused_add_rmsnorm_kernel","python/sglang/jit_kernel/minimax_m3/rmsnorm.py:19 (rmsnorm); :47 (fused_add_rmsnorm)","ROCm only (gfx94x/gfx95x)",pytest python/sglang/jit_kernel/tests/test_minimax_m3_rmsnorm.py,n/a (external model),,"Ambiguous: layernorm.py:88-91 uses sgl_kernel.gemma_rmsnorm (C++), NOT this Triton one. The Triton version is exercised only by its own test."
37,MiniMax M3 (external EntryClass),MoE Router + TopK,both,"[T,H]x[H,num_experts]",Standard sglang FusedMoE router (no M3-specific override),python/sglang/srt/layers/moe/topk.py; python/sglang/srt/models/... (external model MoE layer),External model forward,Standard cuBLAS / DeepGEMM / _jit_dsv3_router_gemm dispatch; TopK: standard FusedMoE topk (sigmoid + routed_scaling_factor folded into topk_weights),python/sglang/srt/layers/moe/topk.py; python/sglang/jit_kernel/dsv3_router_gemm.py:65,--moe-runner-backend; standard MoE flags,pytest sgl-kernel/tests/test_moe_topk_sigmoid.py; pytest test/registered/kernels/test_fused_topk_deepseek.py,n/a (external model),,"M3 uses sigmoid routing with apply_routed_scaling_factor_on_output=True; routed_scaling_factor already folded into topk_weights by topk kernel (comment: mxfp8_moe_amd_gfx95.py:408-411). MoE entry intentionally does NOT re-apply it."
38,MiniMax M3 (external EntryClass),MoE MXFP8 GateUp/Act/Down (ROCm gfx95),both,"E x [M_e, H] x [H, 2I] (MXFP8 e4m3 + E8M0 scales)","fused_experts_mxfp8 (main entry) -> fused_moe_mxfp8_native (per-batch)","python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py:358 (fused_experts_mxfp8); :247 (fused_moe_mxfp8_native)","python/sglang/srt/layers/moe/moe_runner/triton.py:91 (called from TritonRunnerCore); gate: quant_info.use_mxfp8 + is_hip() + is_gfx95_supported() (triton.py:86)","Native ROCm MXFP8 dot_scaled group-GEMM + SwiGLU-OAI + optional MXFP8 quant; MoE combine either .sum or fused Triton _combine_topk_routes_kernel","python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py; JSON config at configs/minimax_m3_gfx950_mxfp8_compact_moe.json","ROCm gfx950 hard gate; SGLANG_MINIMAX_M3_FUSED_MOE_COMBINE (default off, fuses combine)",pytest python/sglang/jit_kernel/tests/test_minimax_m3_mxfp8.py,n/a (external model),,"Hard-codes M3 SwiGLU-OAI config (mxfp8_moe_amd_gfx95.py:388-402); raises NotImplementedError for anything else. Config JSON committed with model=MiniMax-M3."
39,MiniMax M3 (external EntryClass),SwiGLU-OAI split,both,"[*, 2I] -> [*, I], fp32 math",swiglu_oai_split,python/sglang/jit_kernel/minimax_m3/swiglu.py:55,python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py:313 (default path),Triton _swiglu_oai_kernel,python/sglang/jit_kernel/minimax_m3/swiglu.py:18,"ROCm gfx95x; SGLANG_MINIMAX_M3_FUSED_SWIGLU_MXFP8=false (default; separate SwiGLU + quant)",pytest python/sglang/jit_kernel/tests/test_minimax_m3_mxfp8.py,n/a (external model),,"OAI-style SwiGLU: alpha*x*sigmoid(alpha*x) * (up + beta) with limit clamp"
40,MiniMax M3 (external EntryClass),SwiGLU-OAI + MXFP8 quant (fused),both,"[*, 2I] -> [*, I] fp8_e4m3 + [*, I/32] E8M0",swiglu_oai_mxfp8_quant,python/sglang/jit_kernel/minimax_m3/swiglu.py:159,python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py:310 (fused path),Triton _swiglu_oai_mxfp8_quant_kernel (single-launch SwiGLU-OAI + MXFP8 quant),python/sglang/jit_kernel/minimax_m3/swiglu.py:96,"ROCm gfx95x; SGLANG_MINIMAX_M3_FUSED_SWIGLU_MXFP8=true (opt-in fused path)",pytest python/sglang/jit_kernel/tests/test_minimax_m3_mxfp8.py,n/a (external model),,"Experimental A/B toggle; env-off default"
41,MiniMax M3 (external EntryClass),MoE Combine (fused),both,"[T, top_k, H] -> [T, H]","_combine_topk_routes",python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py:220,python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py:354,Triton _combine_topk_routes_kernel,python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py:191,"SGLANG_MINIMAX_M3_FUSED_MOE_COMBINE (default False; opt-in fused; else uses g2.view(T,top_k,H).sum(dim=1))",(covered by E2 test_minimax_m3_mxfp8.py MoE tests),n/a (external model),,"Experimental A/B toggle"
42,MiniMax M3 (external EntryClass),KV Pool (MiniMaxSparseKVPool),n/a,"3 sub-pools: main K/V (all layers) + index K/V (sparse layers with V) + index K-only (sparse layers K-only)","MiniMaxSparseKVPool","python/sglang/srt/mem_cache/memory_pool.py:3538","python/sglang/srt/model_executor/model_runner_kv_cache_mixin.py:1059-1076 (auto-instantiated when is_minimax_sparse)","Composed of MHATokenToKVPool (main_pool), MHATokenToKVPool (index_kv_pool for K+V idx layers), MHATokenToKOnlyPool (index_k_pool for K-only idx layers)","python/sglang/srt/mem_cache/memory_pool.py:3593 (main); :3606 (index_kv); :3621 (index_k)","is_minimax_sparse(config) auto-detects (config has sparse_attention_config + arch is MiniMaxM3SparseFor*); config keys: sparse_attention_freq, sparse_disable_index_value, sparse_index_dim, sparse_score_type",pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_host_unit.py; pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_pd_unit.py; pytest test/registered/unit/disaggregation/test_minimax_sparse_disagg_state_kv_args.py,n/a (external model needed to exercise),,"Get: get_index_k_buffer (:3683), get_index_kv_buffer (:3672). Set: set_index_k_buffer (:3743), set_index_kv_buffer (:3717), set_fused_kv_index_buffer (:3788) - the last one fuses via store_kv_index"
43,MiniMax M3 (external EntryClass),Hybrid Cache Strategy,n/a,"HiRadixCache dispatch for MiniMaxSparseKVPool","_MiniMaxSparseStrategy",python/sglang/srt/mem_cache/hybrid_cache/hybrid_pool_assembler.py:969,"python/sglang/srt/mem_cache/hiradix_cache.py:145-150 (isinstance dispatch); disaggregation/utils.py:685","build_minimax_sparse_hicache_stack (in hybrid_pool_assembler.py); attach_hybrid_minimax_sparse_pool_to_hiradix_cache","python/sglang/srt/mem_cache/hybrid_cache/hybrid_pool_assembler.py:1219 (build_minimax_sparse_hicache_stack)","isinstance(kvcache, MiniMaxSparseKVPool); no PP support (assembler:1224); L2 index-k-only support (assembler:1323)",pytest test/registered/unit/mem_cache/test_unified_radix_hicache_dispatch.py,n/a (external model),,"For L1 (host) and L2 (nvme/rdma) hicache tiers; L2 only supports the K-only sparse layers today"
