op_id,operator,phase,shape_or_role,ultimate_kernel_or_api,kernel_impl_location,dispatch_switch,unit_test,benchmark,test_result_on_b200,notes
29,Sparse Indexer Q projection (idx_q),both,"[T, num_idx_heads, idx_head_dim]",Standard Linear GEMM in external model; optionally fused with RMSNorm+RoPE via minimax_qknorm_rope (CUDA) or qk_gemma_rmsnorm_rope (ROCm),python/sglang/jit_kernel/minimax_qknorm_rope.py:152 (CUDA); python/sglang/jit_kernel/minimax_m3/qk_norm_rope.py:99 (ROCm),no explicit gate,pytest test/registered/jit/minimax/test_minimax_qknorm_rope.py; pytest test/registered/jit/test_minimax_m3_qk_norm_rope.py,python3 test/registered/jit/benchmark/minimax/bench_minimax_qknorm_rope.py,"PASS - test/registered/jit/minimax/test_minimax_qknorm_rope.py: 79 passed. bench_minimax_qknorm_rope: fused 1.64-192.7us, peak 1372.8 GB/s @ T=1024; combined_one_launch beats two_launches (e.g. T=8192: 17.6us vs 42.9us).",num_idx_heads may > num_kv_heads; topk_index_reduce (common/index.py:4) reduces to kv-head topk if so
30,Sparse Indexer K/V cache write,both,"paged: [max_slots, 1, idx_head_dim]",Non-fused: separate memcpy into pool.index_k_pool.k_buffer[mapped_id][loc]; Fused single-launch: store_kv_index (jit CUDA) writes main K/V + idx K [+ idx V] in one launch,python/sglang/jit_kernel/minimax_store_kv_index.py:31 (entry); csrc/minimax/fused_store_kv_index.cuh (kernel),SGLANG_OPT_USE_MINIMAX_FUSED_KV_INDEX_STORE (default True; gated on CUDA + uniform dtype + 16B-aligned head),pytest test/registered/jit/minimax/test_minimax_store_kv_index.py; pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_host_unit.py; pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_pd_unit.py,python3 test/registered/jit/benchmark/minimax/bench_minimax_store_kv_index.py,"PASS - test/registered/jit/minimax/test_minimax_store_kv_index.py: 96 passed. bench_minimax_store_kv_index: fused 1.41-4.89us, peak 4815.5 GB/s @ T=16384; fused vs separate launches (e.g. T=16384: 4.89us vs 59.4us = ~12x faster).",Fallback: separate set_kv_buffer + set_index_k/kv_buffer (memory_pool.py:3830). K-only sparse layers use index_k_pool (MHATokenToKOnlyPool); K+V layers use index_kv_pool (MHATokenToKVPool). Split by config sparse_disable_index_value.
31,Sparse Indexer Score (prefill),prefill,"idx_q x idx_k -> per-block score [T, num_idx_heads, num_blocks]; topk in same kernel",Triton autotuned _flash_attn_fwd_with_block_score_kernel (single-launch: score max/lse + inline topk_idx),python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/flash_with_topk_idx.py:62 (kernel); :491 (launch),sparse_score_type in config ('max' or 'lse'),(no in-repo prefill unit test; use E1 decode tests for algorithm coverage),,"PASS - NEW test written: test/registered/jit/minimax/test_minimax_m3_cuda_config.py ::test_m3_prefill_score_topk. flash_prefill_with_topk_index (Triton/CUDA) at M3 index shapes (idx_q [B,4,128], idx_k_cache [slots,1,128], block_size=128, topk=8, init=0, local=1, score_type=max). Oracle: proven decode reference (pytorch_reference) via the equivalence prefill(length-1, prefix=L-1, seq_len=L) == decode(seq_len=L). 1 case passed.",
32,Sparse Indexer Score + topk (decode),decode,"idx_q x idx_k_cache -> score [num_heads, batch, max_seqblock] -> topk_idx [num_heads, batch, topk]","Triton _decode_score_kernel (autotuned, launched at :837); then one of 3 topk paths: (a) dense-page-table fused: minimax_decode_topk_page_table (JIT CUDA) if use_dense_main_attn; (b) radix JIT: minimax_decode_topk (JIT CUDA) if SGLANG_OPT_USE_MINIMAX_DECODE_TOPK_RADIX + score.shape[2]<=4096 + topk<=32; (c) fallback 2-step Triton _topk_index_partial_kernel + _topk_index_merge_kernel","python/sglang/srt/layers/attention/minimax_sparse_ops/decode/flash_with_topk_idx.py:39 (score kernel); :540 (partial); :669 (merge); python/sglang/jit_kernel/minimax_decode_topk.py:43 (radix), :75 (page_table); csrc/minimax/minimax_decode_topk.cuh:270 (radix kernel), :319 (page_table kernel)",SGLANG_OPT_USE_MINIMAX_DECODE_TOPK_RADIX (default True) + shape gates; use_dense_main_attn flag from orchestrator,pytest python/sglang/srt/layers/attention/minimax_sparse_ops/tests/test_flash_with_topk_idx.py; pytest test/registered/jit/minimax/test_minimax_decode_topk.py; pytest test/registered/jit/minimax/test_minimax_decode_topk_page_table.py,python3 test/registered/jit/benchmark/minimax/bench_minimax_decode_topk.py,"PASS - test_minimax_decode_topk.py: 118 passed; test_minimax_decode_topk_page_table.py: 30 passed. NEW M3-config case in test_minimax_m3_cuda_config.py: topk in {4,8,16,32} (closes gap -- existing grid was {16,32,64}; M3 MoE topk=4) with num_idx_heads=4, block_size=128. bench: JIT radix 2.25-7.50us beats Triton 2-stage by 2-30x. 12 cases passed.","Multi-head reduce: topk_index_reduce (common/index.py:4) when num_idx_heads > num_kv_heads (called at minimax_sparse.py:107 for prefill, :236 for decode)"
33,Main Sparse Attention (prefill),prefill,q x paged k_cache/v_cache under topk_idx (GQA-share),Triton kernel in prefill/topk_sparse.py; OR external fmha_sm100 (Blackwell SM100 B200/B300 only),python/sglang/srt/layers/attention/minimax_sparse_ops/prefill/topk_sparse.py (triton); python/sglang/srt/layers/attention/minimax_sparse_ops/msa.py:142 (fmha_sm100 call),msa_available() (SM100 + fmha_sm100 importable + sink is None); fall back to Triton on MSAUnavailableError,(no in-repo prefill unit test for step-3),,"PASS - NEW test written: test_minimax_m3_cuda_config.py::test_m3_prefill_main_sparse. flash_prefill_with_gqa_share_sparse (Triton) at M3 main shapes (q [B,64,128], k_cache [slots,4,128], GQA 16:1, block_size=128, topk=8). topk_idx flows from op31 (real M3 hand-off, idx_group_size=1 no reduce). Oracle: sparse-attention reference over topk blocks (gather paged cache, softmax+sink). 1 case passed.",Naive PyTorch reference: naive/topk_sparse.py:8 (naive_flash_decode_with_gqa_share_sparse). fmha_sm100 is an external CUDA op imported at msa.py:19-29
34,Main Sparse Attention (decode),decode,q x paged k_cache/v_cache under topk_idx (GQA-share),"Triton kernel in decode/topk_sparse.py; OR external fmha_sm100 (SM100 eager-only, NOT cuda-graph safe for decode); OR external dense paged backend called via page table from minimax_decode_topk_page_table",python/sglang/srt/layers/attention/minimax_sparse_ops/decode/topk_sparse.py (triton); python/sglang/srt/layers/attention/minimax_sparse_ops/msa.py:362 (fmha_sm100 call),msa_available(); dense_main_attn_fn from external caller,pytest python/sglang/srt/layers/attention/minimax_sparse_ops/tests/test_sparse_gqa.py,,PASS - minimax_sparse_ops/tests/test_sparse_gqa.py: 20 passed in 77s. Triton flash_decode_with_gqa_share_sparse path verified. MSA fmha_sm100 path NOT exercised (needs external fmha_sm100 import + eager/non-cuda-graph).,"MSA decode NOT cuda-graph safe (msa.py:194-209). Eager plan helpers: build_msa_decode_cg_plan (:238), update_msa_decode_cg_meta (:272). Naive reference: naive/flash_with_topk_idx.py:9"
35,Fused Gemma-RMSNorm + partial RoPE (main+index),both,"Q [T, num_heads, head_dim] + K [T, num_kv_heads, head_dim] (+ optional idx_q, idx_k)",CUDA: JIT via _fused_gemma_qknorm_rope (jit_kernel/minimax_qknorm_rope.py:51) -> C++ csrc/minimax/fused_gemma_qknorm_rope.cuh; ROCm: Triton _qk_gemma_rmsnorm_rope_kernel / _sparse_qk_index_gemma_rmsnorm_rope_kernel,"python/sglang/jit_kernel/csrc/minimax/fused_gemma_qknorm_rope.cuh; python/sglang/jit_kernel/minimax_m3/qk_norm_rope.py:12,151,373 (Triton kernels)",Auto (no env gate on the kernel itself; caller selects fused vs unfused),pytest test/registered/jit/minimax/test_minimax_qknorm_rope.py (CUDA); pytest test/registered/jit/test_minimax_m3_qk_norm_rope.py (ROCm),python3 test/registered/jit/benchmark/minimax/bench_minimax_qknorm_rope.py,"PASS (same as op 29) - CUDA fused Gemma-RMSNorm+RoPE covered by test_minimax_qknorm_rope.py (79 passed) + NEW M3 (64,4,4) grouped case in test_minimax_m3_cuda_config.py (closes grid gap -- existing was {(8,1,1),(8,1,4),(16,2,2)}). ROCm Triton variant not run (gfx95 only).",CUDA and ROCm are DIFFERENT implementations; ROCm variants NOT exported from jit_kernel/minimax_m3/__init__.py
37,MoE Router + TopK,both,"[T,H]x[H,num_experts]",Standard cuBLAS / DeepGEMM / _jit_dsv3_router_gemm dispatch; TopK: standard FusedMoE topk (sigmoid + routed_scaling_factor folded into topk_weights),python/sglang/srt/layers/moe/topk.py; python/sglang/jit_kernel/dsv3_router_gemm.py:65,--moe-runner-backend; standard MoE flags,pytest sgl-kernel/tests/test_moe_topk_sigmoid.py; pytest test/registered/kernels/test_fused_topk_deepseek.py,,PASS - M3 reuses standard sglang FusedMoE router+topk. sgl-kernel/tests/test_moe_topk_sigmoid.py: 774 passed. No M3-specific kernel.,M3 uses sigmoid routing with apply_routed_scaling_factor_on_output=True; routed_scaling_factor already folded into topk_weights by topk kernel (comment: mxfp8_moe_amd_gfx95.py:408-411). MoE entry intentionally does NOT re-apply it.
42,KV Pool (MiniMaxSparseKVPool),n/a,3 sub-pools: main K/V (all layers) + index K/V (sparse layers with V) + index K-only (sparse layers K-only),"Composed of MHATokenToKVPool (main_pool), MHATokenToKVPool (index_kv_pool for K+V idx layers), MHATokenToKOnlyPool (index_k_pool for K-only idx layers)",python/sglang/srt/mem_cache/memory_pool.py:3593 (main); :3606 (index_kv); :3621 (index_k),"is_minimax_sparse(config) auto-detects (config has sparse_attention_config + arch is MiniMaxM3SparseFor*); config keys: sparse_attention_freq, sparse_disable_index_value, sparse_index_dim, sparse_score_type",pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_host_unit.py; pytest test/registered/unit/mem_cache/test_minimax_sparse_pool_pd_unit.py; pytest test/registered/unit/disaggregation/test_minimax_sparse_disagg_state_kv_args.py,,"PASS - test_minimax_sparse_pool_host_unit.py: 7 passed, 1 skipped, 3 subtests passed; test_minimax_sparse_pool_pd_unit.py: 2 passed. MiniMaxSparseKVPool (main K/V + index_kv + index_k sub-pools) verified.","Get: get_index_k_buffer (:3683), get_index_kv_buffer (:3672). Set: set_index_k_buffer (:3743), set_index_kv_buffer (:3717), set_fused_kv_index_buffer (:3788) - the last one fuses via store_kv_index"
36,Gemma-RMSNorm (standalone),both,"[*, hidden] fp32 math",Triton _gemma_rmsnorm_kernel / _gemma_fused_add_rmsnorm_kernel,python/sglang/jit_kernel/minimax_m3/rmsnorm.py:19 (rmsnorm); :47 (fused_add_rmsnorm),ROCm only (gfx94x/gfx95x),pytest python/sglang/jit_kernel/tests/test_minimax_m3_rmsnorm.py,,"SKIP - test_minimax_m3_rmsnorm.py: 1 skipped on B200 (ROCm gfx94x/gfx95x only; this is SM100). Note: layernorm.py uses sgl_kernel.gemma_rmsnorm (C++) not this Triton one, so this Triton rmsnorm has no production caller on CUDA.","Ambiguous: layernorm.py:88-91 uses sgl_kernel.gemma_rmsnorm (C++), NOT this Triton one. The Triton version is exercised only by its own test."
38,MoE MXFP8 GateUp/Act/Down (ROCm gfx95),both,"E x [M_e, H] x [H, 2I] (MXFP8 e4m3 + E8M0 scales)",Native ROCm MXFP8 dot_scaled group-GEMM + SwiGLU-OAI + optional MXFP8 quant; MoE combine either .sum or fused Triton _combine_topk_routes_kernel,python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py; JSON config at configs/minimax_m3_gfx950_mxfp8_compact_moe.json,"ROCm gfx950 hard gate; SGLANG_MINIMAX_M3_FUSED_MOE_COMBINE (default off, fuses combine)",pytest python/sglang/jit_kernel/tests/test_minimax_m3_mxfp8.py,,"SKIP - test_minimax_m3_mxfp8.py: 1 skipped on B200 (ROCm gfx950 hard gate). All MXFP8 MoE kernels are gfx95-only, not runnable on this B200.",Hard-codes M3 SwiGLU-OAI config (mxfp8_moe_amd_gfx95.py:388-402); raises NotImplementedError for anything else. Config JSON committed with model=MiniMax-M3.
39,SwiGLU-OAI split,both,"[*, 2I] -> [*, I], fp32 math",Triton _swiglu_oai_kernel,python/sglang/jit_kernel/minimax_m3/swiglu.py:18,ROCm gfx95x; SGLANG_MINIMAX_M3_FUSED_SWIGLU_MXFP8=false (default; separate SwiGLU + quant),pytest python/sglang/jit_kernel/tests/test_minimax_m3_mxfp8.py,,"SKIP - covered by test_minimax_m3_mxfp8.py (1 skipped, ROCm gfx95x SwiGLU-OAI).",OAI-style SwiGLU: alpha*x*sigmoid(alpha*x) * (up + beta) with limit clamp
40,SwiGLU-OAI + MXFP8 quant (fused),both,"[*, 2I] -> [*, I] fp8_e4m3 + [*, I/32] E8M0",Triton _swiglu_oai_mxfp8_quant_kernel (single-launch SwiGLU-OAI + MXFP8 quant),python/sglang/jit_kernel/minimax_m3/swiglu.py:96,ROCm gfx95x; SGLANG_MINIMAX_M3_FUSED_SWIGLU_MXFP8=true (opt-in fused path),pytest python/sglang/jit_kernel/tests/test_minimax_m3_mxfp8.py,,"SKIP - covered by test_minimax_m3_mxfp8.py (1 skipped, ROCm fused SwiGLU+MXFP8 quant).",Experimental A/B toggle; env-off default
41,MoE Combine (fused),both,"[T, top_k, H] -> [T, H]",Triton _combine_topk_routes_kernel,python/sglang/srt/layers/moe/moe_runner/triton_utils/mxfp8_moe_amd_gfx95.py:191,"SGLANG_MINIMAX_M3_FUSED_MOE_COMBINE (default False; opt-in fused; else uses g2.view(T,top_k,H).sum(dim=1))",(covered by E2 test_minimax_m3_mxfp8.py MoE tests),,"SKIP - covered by test_minimax_m3_mxfp8.py (combine kernel, ROCm only).",Experimental A/B toggle
28,Main Q/K/V projections,both,"per-head GQA: q [T, num_q_heads, qk_head_dim]; kv [T, num_kv_heads, head_dim] (NOT MLA)",Standard Linear (ReplicatedLinear/ColumnParallelLinear/QKVParallelLinear) with any quant method (Fp8LinearMethod / UnquantizedLinearMethod / ModelSlim / Quark) - depends on external impl. Follows same dispatch as any GQA model.,python/sglang/srt/layers/linear.py:143 (LinearBase),--quantization; SGLANG_EXTERNAL_MODEL_PACKAGE,n/a (external),,NO-OP-KERNEL (pass-by-design) - M3 main QKV is per-head GQA via standard Linear; no M3-specific kernel. Covered indirectly by op 37/42 infrastructure. Not unit-testable at op level.,M3 is NOT MLA. Main attention is per-head GQA (num_q_heads % num_kv_heads == 0). Confirmed via minimax_sparse.py:30-62 signature and prefill/topk_sparse.py:289-291 assertion. No q_a/q_b/kv_a/kv_b low-rank compression.
43,Hybrid Cache Strategy,n/a,HiRadixCache dispatch for MiniMaxSparseKVPool,build_minimax_sparse_hicache_stack (in hybrid_pool_assembler.py); attach_hybrid_minimax_sparse_pool_to_hiradix_cache,python/sglang/srt/mem_cache/hybrid_cache/hybrid_pool_assembler.py:1219 (build_minimax_sparse_hicache_stack),"isinstance(kvcache, MiniMaxSparseKVPool); no PP support (assembler:1224); L2 index-k-only support (assembler:1323)",pytest test/registered/unit/mem_cache/test_unified_radix_hicache_dispatch.py,,NOT-RUN (integration) - test_unified_radix_hicache_dispatch.py exists but is an end-to-end hybrid-cache dispatch test requiring the full model pipeline; out of scope for operator-only testing per user request.,For L1 (host) and L2 (nvme/rdma) hicache tiers; L2 only supports the K-only sparse layers today
