模型,架构说明,层类型,算子名称,执行阶段,算子规模,数据精度,B200实测后端,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200默认实现,备选实现,测试状态,备注
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,input,Token Embedding,Prefill,"ids[16384] -> [16384,7168] vocab=163840",BF16,torch.nn.Embedding,242.29,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding (CUDA embedding kernel),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,input,Token Embedding,Decode,"ids[16] -> [16,7168] vocab=163840",BF16,torch.nn.Embedding,55.41,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding (CUDA embedding kernel),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Input RMSNorm,Prefill,"[16384,7168]",BF16,sgl_kernel.rmsnorm,167.75,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm (sgl-kernel C++/CUDA),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Input RMSNorm,Decode,"[16,7168]",BF16,sgl_kernel.rmsnorm,49.41,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm (sgl-kernel C++/CUDA),无 Triton 路径,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN GateUp,Prefill,"[16384,7168]×[7168,4608]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),1044.69,1036.04,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN Down,Prefill,"[16384,2304]×[2304,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),451.28,1199.19,mlp.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN GateUp,Decode,"[16,7168]×[7168,4608]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),56.5,18.71,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Dense FFN Down,Decode,"[16,2304]×[2304,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),52.92,9.99,mlp.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,Q_a+KV_a fused,Prefill,"[16384,7168]×[7168,2112]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),436.81,1170.07,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测 deep_gemm fp8_gemm_nt || sweep prefill_M[512..32768]: 58–878us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,Q_a+KV_a fused,Decode,"[16,7168]×[7168,2112]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),56.60,8.82,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测; 备选 sgl_kernel.dsv3_fused_a_gemm bf16=54.20us || sweep decode_B[1..256]: 56–58us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,Q_b,Prefill,"[16384,1536]×[1536,1536]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),77.83,993.29,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,Q_b,Decode,"[16,1536]×[1536,12288]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),52.52,11.5,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测 || sweep decode_B[1..256]: 53–55us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,KV_b,Prefill,"[16384,512]×[512,2048]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),73.39,468.19,kv_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,KV_b absorb BMM,Decode,"[16,8,128]×[8,128,512]",BF16,torch.bmm bf16,49.58,0.34,w_kc (from kv_b),torch.bmm,cuBLAS,默认 bf16: torch.bmm → cuBLAS,备选: sgl_kernel.bmm_fp8 (CUDA) / DeepGEMM masked,已测,B200 补测; 备选 sgl_kernel.bmm_fp8
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,V absorb BMM,Decode,"[16,8,512]×[8,512,128]",BF16,torch.bmm bf16,50.05,0.34,w_vc (from kv_b),torch.bmm,cuBLAS,默认 bf16: torch.bmm → cuBLAS,备选: sgl_kernel.bmm_fp8 (CUDA) / DeepGEMM masked,已测,B200 补测; 备选 sgl_kernel.bmm_fp8
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,O_proj,Prefill,"[16384,1024]×[1024,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),264.18,910.44,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测 || sweep prefill_M[512..32768]: 55–534us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,O_proj,Decode,"[16,8192]×[8192,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),57.57,32.64,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM / sgl_kernel.dsv3_fused_a_gemm (CUDA),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,已测,B200 补测 || sweep decode_B[1..256]: 57–62us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,MLA Attention core,Prefill,Q/K/V MLA prefill (no DSA sparse),BF16/FP8 KV,"flashinfer single_prefill (ragged, causal)",2256.27,152.29,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,B200: FlashInfer TRTLLM / FlashMLA (sgl_kernel CUDA),备选: FA3 CUDA / TileLang；非 Triton 主路径,已测,"B200 补测 seq=4096; seq=8192: 8425.61us/163.12 TFLOPS; MLA dims H=64,qk=192,v=128 || sweep prefill_seqlen[1024..16384]: 343–31560us (见kimi_k27_sweeps.csv) || 发现: O(seq²) causal，每2x seq约4x latency(16k=31.6ms)"
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,MLA Attention decode,Decode,"Q[16,64,320] sparse/dense",BF16,flashinfer trtllm_batch_decode_mla (sm100),71.33,127.96,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,B200: FlashInfer TRTLLM / FlashMLA (sgl_kernel CUDA),备选: FA3 CUDA / TileLang；非 Triton 主路径,已测,"B200 补测 seq=4096; seq=8192: 146.35us/124.73 TFLOPS; flash_mla dense decode 仅 SM90a || sweep decode_kvlen[1024..32768]: 65–334us (见kimi_k27_sweeps.csv) | sweep decode_B[1..256]: 60–615us (见kimi_k27_sweeps.csv) || 发现: 随KV长度~线性; batch B≤8平坦(launch-bound), B>8后~线性(256=615us)"
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Router,Prefill,"[16384,7168]×[7168,384]",BF16→FP32,F.linear / torch.mm (cuBLAS bf16),173.43,520.05,mlp.gate,cuBLAS / dsv3_router_gemm,CUDA-JIT,Prefill 大M: cuBLAS torch.mm；Decode 小M: dsv3_router_gemm (CUDA JIT),TopK: sgl_kernel CUDA；非 Triton,已测,B200 补测; M>16 走 cuBLAS 非 router_gemm || sweep prefill_M[512..32768]: 56–351us (见kimi_k27_sweeps.csv) || 发现: M<2k时 launch-bound(~56us)，M>2k后~线性
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Router,Decode,"[16,7168]×[7168,384]",BF16→FP32,"sgl_kernel.dsv3_router_gemm (CUDA JIT, fp32)",57.77,1.52,mlp.gate,dsv3_router_gemm JIT,CUDA-JIT,Prefill 大M: cuBLAS torch.mm；Decode 小M: dsv3_router_gemm (CUDA JIT),TopK: sgl_kernel CUDA；非 Triton,已测,B200 补测 || sweep decode_B[1..16]: 50–58us (见kimi_k27_sweeps.csv) || 发现: dsv3_router_gemm 随B增长(B=16→58us)，B=16已慢于cuBLAS(53us)，故sglang仅M≤16启用此核
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE GateUp GroupGEMM,Prefill,"384×[512,7168]×[7168,256]",FP8 grouped,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,897.72,803.76,experts.w13_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,B200 默认 DeepEP: deep_gemm grouped/masked (CUDA JIT),备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,已测,sweep tokens_per_expert[16..1024]: 587–1807us (见kimi_k27_sweeps.csv) || 发现: 128行对齐填充地板，<128 tokens/expert 走满128行(~587us不变)；真实路由比topk(randn)更倾斜，填充代价更高
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE GateUp GroupGEMM,Decode,"8×[16,7168]×[7168,2048] approx",FP8 masked,deep_gemm.fp8_m_grouped_gemm_nt_masked,73.53,51.11,experts.w13_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,B200 默认 DeepEP: deep_gemm grouped/masked (CUDA JIT),备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,已测,B200 补测 masked E=8 || sweep masked_m[1..128]: 73–74us (见kimi_k27_sweeps.csv) || 发现: masked 128对齐填充，masked_m<128 成本不变(~73us)，代价随专家组数(EP度)而非有效token数增长
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Down GroupGEMM,Prefill,"384×[512,256]×[256,7168]",FP8 grouped,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,2440.95,295.6,experts.w2_weight,deep_gemm.m_grouped_fp8_gemm_nt_contiguous,CUDA-JIT,B200 默认 DeepEP: deep_gemm grouped/masked (CUDA JIT),备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,已测,B200 补测 contiguous E=384 || 发现: 同GateUp，128行对齐填充地板(<128 tokens/expert 走满128行)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Down GroupGEMM,Decode,"8×[16,1024]×[1024,7168] approx",FP8 masked,deep_gemm.fp8_m_grouped_gemm_nt_masked,60.97,30.82,experts.w2_weight,deep_gemm.fp8_m_grouped_gemm_nt_masked,CUDA-JIT,B200 默认 DeepEP: deep_gemm grouped/masked (CUDA JIT),备选: Triton fused_experts / CUTLASS / FlashInfer TRTLLM MoE,已测,B200 补测 masked E=8 || 发现: masked 128对齐填充，masked_m<128 成本不变
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe_shared,MoE Shared GateUp,Prefill,"[16384,7168]×[7168,512]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),148.43,810.19,shared_experts.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe_shared,MoE Shared Down,Prefill,"[16384,256]×[256,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),240.41,250.11,shared_experts.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe_shared,MoE Shared GateUp,Decode,"[16,7168]×[7168,512]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),55.77,2.11,shared_experts.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe_shared,MoE Shared Down,Decode,"[16,256]×[256,7168]",FP8 W8A8,deep_gemm w8a8_block_fp8 (blackwell path),51.12,1.15,shared_experts.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,B200 默认: DeepGEMM fp8_gemm_nt (CUDA JIT),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,output,LM Head,Prefill,"[16384,7168]×[7168,163840]",BF16,torch.mm bf16 (lm_head),58362.49,659.38,lm_head,torch.mm,cuBLAS,torch.mm / F.linear → cuBLAS GEMM,可选 FP8 DeepGEMM（若量化）,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,output,LM Head,Decode,"[16,7168]×[7168,163840]",BF16,torch.mm bf16 (lm_head),892.85,42.09,lm_head,torch.mm,cuBLAS,torch.mm / F.linear → cuBLAS GEMM,可选 FP8 DeepGEMM（若量化）,已测,
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,RoPE (q+k),Prefill,"q[16384,64,64] k[16384,1,64]",BF16,JIT rope (neox),144.22,,rotary_emb,apply_rope_with_cos_sin_cache_inplace,CUDA-JIT,JIT rope (neox),fused_qk_norm_rope / dsv4 fused,已测,补测: 每层 MLA rope
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,RoPE (q+k),Decode,"q[16,64,64] k[16,1,64]",BF16,JIT rope (neox),48.77,,rotary_emb,apply_rope_with_cos_sin_cache_inplace,CUDA-JIT,JIT rope (neox),fused_qk_norm_rope,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,q_a_layernorm,Prefill,"[16384,1536]",BF16,sgl_kernel.rmsnorm,62.02,,q_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,已测,补测: MLA q-lora latent norm
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,q_a_layernorm,Decode,"[16,1536]",BF16,sgl_kernel.rmsnorm,49.15,,q_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,kv_a_layernorm,Prefill,"[16384,512]",BF16,sgl_kernel.rmsnorm,53.93,,kv_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,已测,补测: MLA kv-lora latent norm
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,kv_a_layernorm,Decode,"[16,512]",BF16,sgl_kernel.rmsnorm,48.64,,kv_a_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,-,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Fused add+RMSNorm,Prefill,"[16384,7168]",BF16,fused_add_rmsnorm (residual融合),336.24,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,fused_add_rmsnorm (residual融合),-,已测,补测: 稳态残差+norm 融合路径 || sweep prefill_M[512..32768]: 52–623us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Fused add+RMSNorm,Decode,"[16,7168]",BF16,fused_add_rmsnorm,49.77,,input_layernorm / post_attention_layernorm,sgl_kernel.fused_add_rmsnorm,CUDA,fused_add_rmsnorm,-,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈 || sweep decode_B[1..256]: 49–51us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Gate (fused topk),Prefill,"[16384,384] topk=8",FP32,"kimi_k2_moe_fused_gate (Kimi专用, sigmoid+biased topk)",79.08,,mlp.gate -> topk,sgl_kernel.kimi_k2_moe_fused_gate,CUDA,"kimi_k2_moe_fused_gate (Kimi专用, sigmoid+biased topk)",moe_fused_gate / biased_grouped_topk,已测,补测: Kimi专用路由核; num_expert_group=1
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Gate (fused topk),Decode,"[16,384] topk=8",FP32,kimi_k2_moe_fused_gate,52.19,,mlp.gate -> topk,sgl_kernel.kimi_k2_moe_fused_gate,CUDA,kimi_k2_moe_fused_gate,moe_fused_gate,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈 || sweep decode_B[1..256]: 52–53us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,SwiGLU act (dense),Prefill,"[16384,4608]->[16384,2304]",BF16,silu_and_mul,146.58,,mlp.act_fn,sgl_kernel.silu_and_mul,CUDA,silu_and_mul,silu_and_mul_contig_post_quant (融合量化),已测,补测: dense FFN 激活 || sweep prefill_M[512..32768]: 51–245us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,SwiGLU act (dense),Decode,"[16,4608]->[16,2304]",BF16,silu_and_mul,49.89,,mlp.act_fn,sgl_kernel.silu_and_mul,CUDA,silu_and_mul,-,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,SwiGLU act (moe grouped),Prefill,"[196608,512]->[196608,256]",BF16,silu_and_mul,445.74,,experts.act_fn,sgl_kernel.silu_and_mul,CUDA,silu_and_mul,silu_and_mul_masked_post_quant_fwd,已测,补测: MoE 专家激活 (m_sum=384x512)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,SwiGLU act (moe masked),Decode,"[1024,2048]->[1024,1024]",BF16,silu_and_mul_masked_post_quant_fwd,50.86,,experts.act_fn,sgl_kernel.silu_and_mul,CUDA,silu_and_mul_masked_post_quant_fwd,-,已测,补测; masked padded; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Act FP8 quant (hidden),Prefill,"[16384,7168] group=128",BF16->FP8,"per_token_group_quant_fp8 (UE8M0, col-major)",158.04,,(pre-GEMM 量化),sglang_per_token_group_quant_fp8,CUDA,"per_token_group_quant_fp8 (UE8M0, col-major)",scaled_fp8_quant,已测,补测: 每个FP8 GEMM前的激活量化(不含在GEMM计时内) || sweep prefill_M[512..32768]: 51–269us (见kimi_k27_sweeps.csv) || 发现: 每个FP8 GEMM前都跑；不含在round-1 GEMM计时内，真实op≈quant+GEMM
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,all_layers,Act FP8 quant (hidden),Decode,"[16,7168] group=128",BF16->FP8,per_token_group_quant_fp8,48.99,,(pre-GEMM 量化),sglang_per_token_group_quant_fp8,CUDA,per_token_group_quant_fp8,scaled_fp8_quant,已测,补测; decode每步都跑; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,dense_ffn,Act FP8 quant (dense-down-in),Decode,"[16,2304] group=128",BF16->FP8,per_token_group_quant_fp8,48.99,,(down_proj 前量化),sglang_per_token_group_quant_fp8,CUDA,per_token_group_quant_fp8,-,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Combine (moe_sum),Prefill,"[16384,8,7168]->[16384,7168]",BF16,moe_sum,1233.41,,experts (topk 加权求和),sgl_kernel.moe_sum,CUDA,moe_sum,moe_sum_reduce_triton / torch.compile,已测,补测: top-8 专家输出加权归约 + 共享/routed_scaling || sweep prefill_M[512..32768]: 64–2779us (见kimi_k27_sweeps.csv) || 发现: prefill每token代价最陡(32k=2779us)，主要prefill优化目标
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,moe,MoE Combine (moe_sum),Decode,"[16,8,7168]->[16,7168]",BF16,moe_sum,50.86,,experts (topk 加权求和),sgl_kernel.moe_sum,CUDA,moe_sum,moe_sum_reduce,已测,补测; ~49us decode 为启动开销地板(M=16)，非算子瓶颈
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,KV_b absorb BMM (H=64),Decode,"[16,64,128]x[64,128,512]",BF16,torch.bmm bf16,50.25,2.67,w_kc (from kv_b),torch.bmm,cuBLAS,torch.bmm bf16,sgl_kernel.bmm_fp8,已测,修正: CSV原行用H=8; DP decode 实为全部64头 (~8x) || sweep decode_B[1..256]: 50–54us (见kimi_k27_sweeps.csv)
Kimi-K2.7,MLA+MoE; hidden=7168; 61层(1 Dense+60 MoE); 384 experts; 无DSA Indexer,mla,V absorb BMM (H=64),Decode,"[16,64,512]x[64,512,128]",BF16,torch.bmm bf16,50.29,2.67,w_vc (from kv_b),torch.bmm,cuBLAS,torch.bmm bf16,sgl_kernel.bmm_fp8,已测,修正: CSV原行用H=8; DP decode 实为全部64头 (~8x)
