模型,层类型,算子名称,执行阶段,数据精度,测量类型,sweep轴,sweep取值,算子规模/shape,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200实测后端,备选实现,备注/发现
Kimi-K2.7,input,Token Embedding,Prefill,BF16,reference,,ref,"ids[16384] -> [16384,7168] vocab=163840",242.29,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding,无 Triton 路径,
Kimi-K2.7,input,Token Embedding,Decode,BF16,reference,,ref,"ids[16] -> [16,7168] vocab=163840",55.41,,embed_tokens,torch.nn.Embedding,PyTorch,torch.nn.Embedding,无 Triton 路径,
Kimi-K2.7,all_layers,Input RMSNorm,Prefill,BF16,reference,,ref,"[16384,7168]",167.75,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,无 Triton 路径,
Kimi-K2.7,all_layers,Input RMSNorm,Decode,BF16,reference,,ref,"[16,7168]",49.41,,input_layernorm,sgl_kernel.rmsnorm,CUDA,sgl_kernel.rmsnorm,无 Triton 路径,
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,reference,,ref,"[16384,7168]×[7168,4608]",1044.69,1036.04,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,512,"[512,7168]x[7168,4608] aligned(7168,4608)",61.77,547.59,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,1024,"[1024,7168]x[7168,4608] aligned(7168,4608)",72.0,939.49,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,2048,"[2048,7168]x[7168,4608] aligned(7168,4608)",149.28,906.27,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,4096,"[4096,7168]x[7168,4608] aligned(7168,4608)",247.47,1093.38,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,8192,"[8192,7168]x[7168,4608] aligned(7168,4608)",435.06,1243.88,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,16384,"[16384,7168]x[7168,4608] aligned(7168,4608)",889.93,1216.2,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Prefill,FP8 W8A8,sweep,prefill_M,32768,"[32768,7168]x[7168,4608] aligned(7168,4608)",1780.79,1215.56,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Dense GateUp (fp8)
Kimi-K2.7,dense_ffn,Dense FFN Down,Prefill,FP8 W8A8,reference,,ref,"[16384,2304]×[2304,7168]",451.28,1199.19,mlp.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,dense_ffn,Dense FFN GateUp,Decode,FP8 W8A8,reference,,ref,"[16,7168]×[7168,4608]",56.5,18.71,mlp.gate_up_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,dense_ffn,Dense FFN Down,Decode,FP8 W8A8,reference,,ref,"[16,2304]×[2304,7168]",52.92,9.99,mlp.down_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton w8a8_block_fp8_matmul_triton / cuBLAS bf16,
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,reference,,ref,"[16384,7168]×[7168,2112]",436.81,1170.07,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测 deep_gemm fp8_gemm_nt || sweep prefill_M[512..32768]: 58–878us (见kimi_k27_sweeps.csv)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,512,"[512,7168]x[7168,2112] aligned(7168,2176)",58.42,273.4,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,1024,"[1024,7168]x[7168,2112] aligned(7168,2176)",61.37,520.5,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,2048,"[2048,7168]x[7168,2112] aligned(7168,2176)",71.86,889.05,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,4096,"[4096,7168]x[7168,2112] aligned(7168,2176)",150.12,851.15,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,8192,"[8192,7168]x[7168,2112] aligned(7168,2176)",248.0,1030.44,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,16384,"[16384,7168]x[7168,2112] aligned(7168,2176)",436.44,1171.06,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Prefill,FP8 W8A8,sweep,prefill_M,32768,"[32768,7168]x[7168,2112] aligned(7168,2176)",877.83,1164.47,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,reference,,ref,"[16,7168]×[7168,2112]",56.60,8.82,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测; 备选 sgl_kernel.dsv3_fused_a_gemm bf16=54.20us || sweep decode_B[1..256]: 56–58us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,1,"[1,7168]x[7168,2112] aligned(7168,2176)",57.13,0.55,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,2,"[2,7168]x[7168,2112] aligned(7168,2176)",57.61,1.08,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,4,"[4,7168]x[7168,2112] aligned(7168,2176)",57.25,2.18,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,8,"[8,7168]x[7168,2112] aligned(7168,2176)",56.86,4.39,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,16,"[16,7168]x[7168,2112] aligned(7168,2176)",56.53,8.83,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,32,"[32,7168]x[7168,2112] aligned(7168,2176)",56.17,17.77,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,64,"[64,7168]x[7168,2112] aligned(7168,2176)",57.05,35.0,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,128,"[128,7168]x[7168,2112] aligned(7168,2176)",56.96,70.1,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_a+KV_a fused,Decode,FP8 W8A8,sweep,decode_B,256,"[256,7168]x[7168,2112] aligned(7168,2176)",57.46,138.98,fused_qkv_a_proj_with_mqa,deep_gemm / dsv3_fused_a_gemm,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_a fused (fp8)
Kimi-K2.7,mla,Q_b,Prefill,FP8 W8A8,reference,,ref,"[16384,1536]×[1536,1536]",77.83,993.29,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,reference,,ref,"[16,1536]×[1536,12288]",52.52,11.5,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测 || sweep decode_B[1..256]: 53–55us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,1,"[1,1536]x[1536,12288] aligned(1536,12288)",52.62,0.72,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,2,"[2,1536]x[1536,12288] aligned(1536,12288)",52.68,1.43,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,4,"[4,1536]x[1536,12288] aligned(1536,12288)",52.63,2.87,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,8,"[8,1536]x[1536,12288] aligned(1536,12288)",52.58,5.74,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,16,"[16,1536]x[1536,12288] aligned(1536,12288)",52.66,11.47,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,32,"[32,1536]x[1536,12288] aligned(1536,12288)",52.91,22.83,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,64,"[64,1536]x[1536,12288] aligned(1536,12288)",53.19,45.42,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,128,"[128,1536]x[1536,12288] aligned(1536,12288)",54.43,88.77,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,Q_b,Decode,FP8 W8A8,sweep,decode_B,256,"[256,1536]x[1536,12288] aligned(1536,12288)",55.31,174.73,q_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=Q_b (fp8)
Kimi-K2.7,mla,KV_b,Prefill,FP8 W8A8,reference,,ref,"[16384,512]×[512,2048]",73.39,468.19,kv_b_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测
Kimi-K2.7,mla,KV_b absorb BMM,Decode,BF16,reference,,ref,"[16,8,128]×[8,128,512]",49.58,0.34,w_kc (from kv_b),torch.bmm,cuBLAS,torch.bmm bf16,备选: sgl_kernel.bmm_fp8 (CUDA) / DeepGEMM masked,B200 补测; 备选 sgl_kernel.bmm_fp8
Kimi-K2.7,mla,V absorb BMM,Decode,BF16,reference,,ref,"[16,8,512]×[8,512,128]",50.05,0.34,w_vc (from kv_b),torch.bmm,cuBLAS,torch.bmm bf16,备选: sgl_kernel.bmm_fp8 (CUDA) / DeepGEMM masked,B200 补测; 备选 sgl_kernel.bmm_fp8
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,reference,,ref,"[16384,1024]×[1024,7168]",264.18,910.44,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测 || sweep prefill_M[512..32768]: 55–534us (见kimi_k27_sweeps.csv)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,512,"[512,1024]x[1024,7168] aligned(1024,7168)",54.7,137.41,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,1024,"[1024,1024]x[1024,7168] aligned(1024,7168)",58.84,255.5,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,2048,"[2048,1024]x[1024,7168] aligned(1024,7168)",65.22,460.96,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,4096,"[4096,1024]x[1024,7168] aligned(1024,7168)",72.26,832.13,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,8192,"[8192,1024]x[1024,7168] aligned(1024,7168)",156.06,770.59,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,16384,"[16384,1024]x[1024,7168] aligned(1024,7168)",265.21,906.89,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,32768,"[32768,1024]x[1024,7168] aligned(1024,7168)",533.8,901.16,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,reference,,ref,"[16,8192]×[8192,7168]",57.57,32.64,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测 || sweep decode_B[1..256]: 57–62us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,1,"[1,8192]x[8192,7168] aligned(8192,7168)",57.3,2.05,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,2,"[2,8192]x[8192,7168] aligned(8192,7168)",57.27,4.1,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,4,"[4,8192]x[8192,7168] aligned(8192,7168)",57.15,8.22,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,8,"[8,8192]x[8192,7168] aligned(8192,7168)",57.28,16.4,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,16,"[16,8192]x[8192,7168] aligned(8192,7168)",57.36,32.76,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,32,"[32,8192]x[8192,7168] aligned(8192,7168)",57.9,64.9,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,64,"[64,8192]x[8192,7168] aligned(8192,7168)",59.11,127.16,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,128,"[128,8192]x[8192,7168] aligned(8192,7168)",60.02,250.46,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,256,"[256,8192]x[8192,7168] aligned(8192,7168)",62.41,481.76,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,reference,,ref,Q/K/V MLA prefill (no DSA sparse),2256.27,152.29,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer single_prefill (ragged, causal)",备选: FA3 CUDA / TileLang；非 Triton 主路径,"B200 补测 seq=4096; seq=8192: 8425.61us/163.12 TFLOPS; MLA dims H=64,qk=192,v=128 || sweep prefill_seqlen[1024..16384]: 343–31560us (见kimi_k27_sweeps.csv) || 发现: O(seq²) causal，每2x seq约4x latency(16k=31.6ms)"
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,1024,"Q/K:[1024,64,192] V:[1024,64,128] seqlen=1024",343.34,62.55,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,2048,"Q/K:[2048,64,192] V:[2048,64,128] seqlen=2048",787.0,109.15,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,4096,"Q/K:[4096,64,192] V:[4096,64,128] seqlen=4096",2254.2,152.43,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,8192,"Q/K:[8192,64,192] V:[8192,64,128] seqlen=8192",8448.71,162.67,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,16384,"Q/K:[16384,64,192] V:[16384,64,128] seqlen=16384",31559.71,174.2,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,reference,,ref,"Q[16,64,320] sparse/dense",71.33,127.96,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer trtllm_batch_decode_mla (sm100),备选: FA3 CUDA / TileLang；非 Triton 主路径,"B200 补测 seq=4096; seq=8192: 146.35us/124.73 TFLOPS; flash_mla dense decode 仅 SM90a || sweep decode_kvlen[1024..32768]: 65–334us (见kimi_k27_sweeps.csv) | sweep decode_B[1..256]: 60–615us (见kimi_k27_sweeps.csv) || 发现: 随KV长度~线性; batch B≤8平坦(launch-bound), B>8后~线性(256=615us)"
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,1024,"Q:[16,1,64,576] KV:paged(1024,576) v=512",64.54,35.35,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,2048,"Q:[16,1,64,576] KV:paged(2048,576) v=512",72.36,63.07,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,4096,"Q:[16,1,64,576] KV:paged(4096,576) v=512",71.28,128.04,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,8192,"Q:[16,1,64,576] KV:paged(8192,576) v=512",146.44,124.65,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
Kimi-K2.7,mla,MLA Attention decode,Decode,BF16,sweep,decode_kvlen,16384,"Q:[16,1,64,576] KV:paged(16384,576) v=512",172.69,211.4,forward_mla,flash_mla_with_kvcache / flashinfer,CUDA,flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100),,sweep op=MLA attention decode
