,,,,,,,,,,,,,,,,,,
,GLM-5.2 - prefill（耗时占比>5%，KV 上下文长度=65536）,,,,,,,,,,,,,,,,,
,,SeqLen,Operator,Category,baseline,KDA ,层占比 pct,,,,,,,,,,,
,@胡延,1024,Attention O Projection,Attention,,,3.46%,,,,,,,,,,,
,@胡延,,DSA Index K Proj,DSA Indexer,,,6.74%,,,,,,,,,,,
,@胡延,2048,Attention O Projection,Attention,,,3.56%,,,,,,,,,,,
,@胡延,,DSA Index K Proj,DSA Indexer,,,3.89%,,,,,,,,,,,
,@胡延,4096,Attention O Projection,Attention,,,3.22%,,,,,,,,,,,
,@胡延,,DSA Index K Proj,DSA Indexer,,,1.98%,,,,,,,,,,,
,GLM-5.2 — decode（耗时占比>5%，KV 上下文长度=65536）,,,,,,,,,,,,,,,,,
,人员,BS,Operator,Category,baseline,KDA ,层占比,,,,,,,,,,,
,@胡延,16,MLA Decode Attn,Attention Core,,,71.19%,,,,,,,,,,,
,@胡延,32,MLA Decode Attn,Attention Core,,,82.81%,,,,,,,,,,,